ArticleId,SiteId,Date,Quantity,Price,CostPrice
194516,4,3/05/2019,1,43.8,27.44
170936,8,30/01/2019,4,39,28.05
172551,6,4/07/2018,26,86.7,80.47
165811,6,10/03/2019,12,21.9,15.75
200838,4,27/07/2018,3,104,84.2
174022,7,3/07/2019,5,239,199.99
176139,6,25/04/2019,3,199,142
170936,7,28/04/2019,9,39,30.13
170936,5,27/11/2018,11,39,30.06
171979,5,19/02/2019,2,46.3,28.49
200838,8,10/02/2019,-12,95,81.7
172551,8,4/06/2019,4,92,83.27
169281,7,30/03/2019,2,30.66,15.31
199219,7,21/02/2019,2,89,77.32
170936,6,25/05/2019,3,39,30.15
199219,8,30/09/2018,15,82.5,77.16
172551,7,13/02/2019,-4,90.5,82.29
200838,7,21/07/2018,5,94.9,84.43
199219,5,8/08/2018,12,83.5,77.99
170936,6,21/01/2019,12,39,28.05
174022,6,25/06/2019,3,239,200.08
165811,4,7/04/2019,7,21.9,15.84
176139,7,14/10/2018,3,194.24,148.67
172551,8,12/08/2018,10,93.9,81.47
199219,5,8/07/2019,4,89,78.77
174022,5,28/12/2018,5,259,189.3
174022,5,30/03/2019,1,266,197.23
165811,7,3/03/2019,3,30.66,15.75
199219,4,3/06/2019,8,89,78.74
172671,4,15/03/2019,2,19.9,10.84
174022,5,23/08/2018,16,239,190
172551,4,21/04/2019,3,93.9,79.07
172671,5,15/05/2019,2,19.9,20.55
174022,4,9/09/2018,2,259,192.52
200838,8,7/01/2019,5,95,81.7
199219,7,21/03/2019,2,124.6,76.65
200838,6,21/11/2018,18,95,85.53
176139,8,7/01/2019,1,199,141.27
171979,5,7/07/2019,5,50.4,28.95
170069,8,18/01/2019,5,59.9,45.4
199219,7,11/07/2018,1,97.5,77.03
170295,8,11/09/2018,3,29.9,18.87
172671,4,28/05/2019,1,19.9,10.98
174022,4,3/10/2018,7,259,193.35
165811,7,8/01/2019,24,21.9,15.76
171979,7,14/11/2018,13,42.6,28.62
174022,7,9/07/2018,17,229,191.09
172671,7,12/07/2018,2,20.9,10.31
165811,6,30/08/2018,37,20.9,15.71
167108,5,29/01/2019,2,27.9,18.56
167108,4,11/08/2018,20,24.9,18.54
200838,5,11/01/2019,6,95,81.19
170069,7,19/07/2018,4,62.9,45.06
199219,8,6/10/2018,5,89,77.71
174022,6,19/01/2019,7,239,190.09
200838,9,13/11/2018,5,99.75,87.24
199219,4,28/02/2019,5,89,78.02
167108,4,12/07/2019,10,26.9,18.58
170936,4,21/08/2018,4,39,30.05
165811,6,17/05/2019,46,21.9,29.62
167108,4,31/12/2018,6,27.9,18.61
176139,4,26/01/2019,3,183,141.89
170295,6,4/02/2019,-7,24.5,15.78
176139,4,12/09/2018,3,214,152.55
167108,8,16/08/2018,1,24.9,21.51
174022,5,24/09/2018,2,229,190.86
174022,6,21/02/2019,7,266,191.07
170936,8,22/10/2018,19,39,30.06
165811,7,22/08/2018,2,20.9,15.71
170936,8,2/08/2018,18,39,30.05
199219,5,17/07/2019,4,89,78.77
171979,7,6/12/2018,2,45.6,29.1
200838,7,18/05/2019,6,95,152.39
176139,6,16/01/2019,1,199,142
200838,7,4/03/2019,9,133,80.34
167108,5,14/07/2018,2,24.9,18.52
200838,7,24/04/2019,9,95,81.47
174022,4,22/09/2018,19,229,193.62
165811,5,24/05/2019,6,21.9,15.84
165811,7,8/06/2019,3,21.9,15.83
170936,4,24/06/2019,2,39,31.9
170936,8,10/12/2018,11,39,30.08
170936,5,21/05/2019,9,39,30.15
171979,7,10/01/2019,8,43.5,28.11
170069,4,14/07/2018,5,62.9,45.21
170069,8,11/01/2019,1,59.9,45.4
200838,5,10/06/2019,5,95,85.99
170936,7,3/03/2019,15,54.6,30.13
194516,8,11/12/2018,3,46.9,27.47
172671,4,13/05/2019,1,19.9,20.53
176139,5,14/02/2019,-2,199,142
165811,4,18/02/2019,-3,21.9,15.75
169281,7,4/04/2019,2,21.9,15.56
170936,6,11/05/2019,5,39,30.15
171979,8,22/10/2018,1,42.6,28.11
169281,8,26/07/2018,1,34.7,14.99
200838,5,2/02/2019,-8,95,81.19
170295,5,18/04/2019,16,24.5,15.79
167108,7,21/07/2019,2,26.9,18.58
199219,5,16/05/2019,9,89,146.36
170069,5,14/06/2019,2,59.9,42.34
174022,7,17/11/2018,2,256,194.32
170295,5,21/07/2019,1,26,17.65
165811,6,9/05/2019,52,21.9,15.84
199219,7,11/06/2019,1,89,78.77
176139,8,7/07/2018,14,214,148.73
172551,7,23/07/2018,7,93.9,78.9
167108,8,22/10/2018,1,38.3,18.68
170936,7,30/09/2018,6,39,30.06
200838,8,11/04/2019,3,95,81.89
165811,5,24/06/2019,2,21.9,15.83
199219,5,25/11/2018,31,83.9,78.62
174022,7,22/07/2019,7,239,199.97
170069,6,12/07/2018,1,62.9,45.3
167108,8,15/07/2019,1,26.9,18.58
172551,4,27/01/2019,1,98.9,82.48
199219,8,25/09/2018,20,82.5,76.88
165811,6,5/11/2018,18,21.9,15.37
165811,8,19/10/2018,4,21.9,15.38
165811,5,4/12/2018,10,21.9,15.74
199219,5,14/07/2019,6,89,78.77
176139,8,13/11/2018,2,229,148.05
200838,6,21/09/2018,2,104,84.92
165811,6,25/11/2018,9,21.9,15.52
170295,6,19/04/2019,23,24.5,15.79
170936,6,20/02/2019,6,39,30.13
176139,4,2/06/2019,2,197,141.85
167108,8,1/02/2019,-1,27.9,18.57
200838,7,9/09/2018,1,94.9,84.54
165811,7,15/03/2019,4,30.66,15.75
176139,6,13/05/2019,3,199,265.26
176139,6,26/01/2019,2,183,142
199219,5,11/03/2019,5,89,77.18
174022,7,10/05/2019,7,239,203.69
199219,4,27/11/2018,11,83.9,78.62
170295,8,10/01/2019,1,24.5,15.8
176139,7,8/06/2019,1,197,141.85
170936,5,7/12/2018,16,39,30.08
199219,8,3/05/2019,4,89,77.83
170069,4,16/07/2018,1,62.9,44.98
176139,6,10/06/2019,2,199,141.85
172551,7,14/11/2018,4,90.5,83.67
200838,7,11/04/2019,4,95,81.47
174022,8,30/09/2018,2,229,192.43
170295,4,29/03/2019,18,24.5,15.78
199219,6,24/08/2018,14,87.9,77.44
194516,8,29/04/2019,1,43.8,27.44
170295,8,17/11/2018,11,24.5,16.07
170936,4,10/11/2018,3,39,30.06
200838,5,6/12/2018,17,95,85.69
172671,5,5/12/2018,7,19.9,10.56
170069,8,12/10/2018,3,59.9,43.77
174022,4,20/10/2018,14,229,189.83
165811,6,14/05/2019,33,21.9,29.62
200838,6,15/05/2019,3,95,158.39
194516,7,24/09/2018,1,45.6,28.63
171979,5,18/10/2018,10,42.6,28.11
176139,6,21/10/2018,2,214,148.67
167108,8,15/08/2018,2,24.9,21.51
167108,6,2/09/2018,4,30.3,23.55
170295,6,29/07/2019,20,26,17.65
170069,4,8/12/2018,3,59.9,44.28
172551,4,24/07/2018,2,98.9,80.21
172551,7,17/09/2018,5,93.9,78.6
200838,7,5/01/2019,2,95,81.29
169281,4,5/02/2019,-4,21.9,15.31
172551,4,29/08/2018,11,90.5,81.56
165811,5,9/02/2019,-20,21.9,15.75
169281,8,3/11/2018,1,21.9,15.42
165954,6,10/08/2018,3,11.3,7.06
199219,7,20/08/2018,7,83.5,77.35
200838,6,8/11/2018,12,95,85.53
170295,5,14/04/2019,11,24.5,15.79
169281,7,7/09/2018,2,25.5,17.2
200838,6,17/05/2019,13,95,158.39
200838,5,25/11/2018,10,95,85.68
170936,5,26/10/2018,9,39,30.06
172671,7,14/09/2018,2,20.9,10.09
176139,8,10/05/2019,11,197,141.85
170936,7,26/08/2018,5,39,30.05
200838,8,16/12/2018,8,95,85.74
167108,8,30/05/2019,1,26.9,18.62
170295,4,7/05/2019,39,24.5,15.8
165811,6,14/11/2018,53,21.9,15.37
167108,7,22/09/2018,1,38.3,18.55
167108,7,29/07/2018,1,34.9,18.52
199219,6,29/05/2019,2,89,77.65
171979,4,17/01/2019,4,43.5,28.12
200838,6,21/02/2019,4,95,82.88
194516,8,28/01/2019,2,37.8,27.3
170295,4,27/10/2018,1,24.5,16.05
170936,7,22/07/2019,17,41.4,32.45
170295,7,29/01/2019,1,24.5,15.8
200838,5,11/06/2019,5,95,85.99
165811,8,5/08/2018,2,20.9,15.71
165811,7,13/12/2018,4,21.9,15.74
170936,5,20/09/2018,15,39,30.06
165954,6,19/10/2018,2,8.7,5.94
170936,8,20/12/2018,7,39,30.08
170295,4,6/10/2018,29,24.5,16.09
167108,5,5/06/2019,3,26.9,18.58
174022,5,10/07/2018,8,229,193.72
170936,7,14/07/2019,2,41.4,32.42
170936,5,3/09/2018,14,39,30.06
165811,4,3/07/2018,1,20.9,15.6
165954,4,20/05/2019,17,8.7,10.98
167108,5,20/01/2019,9,27.9,18.56
170295,5,20/07/2019,6,26,17.65
176139,5,11/09/2018,2,214,152.67
165811,4,27/04/2019,19,21.9,15.84
170295,8,14/12/2018,1,24.5,15.52
170936,5,12/06/2019,7,39,30.51
172671,8,15/07/2019,1,19.9,11.08
170936,7,18/01/2019,3,39,28.05
172551,8,29/11/2018,3,93.9,82.68
172551,8,11/05/2019,28,90.5,81.46
200838,7,26/04/2019,5,95,81.47
200838,8,23/12/2018,18,87.9,82.28
194516,6,30/10/2018,8,34.5,27.19
165954,6,3/11/2018,4,8.7,5.86
170936,7,19/05/2019,13,41.4,56.38
169281,4,28/06/2019,1,21.9,15.91
174022,4,1/07/2018,7,229,194.07
170295,8,17/02/2019,-3,24.5,15.78
176139,7,14/05/2019,3,197,265.26
170936,6,3/01/2019,5,39,28.05
171979,6,14/03/2019,1,48.6,28.16
200838,6,29/07/2018,3,104,85.27
171979,5,18/11/2018,5,42.6,28.13
170069,6,29/07/2019,2,59.9,42.34
176139,4,29/07/2018,1,214,151.31
172551,7,11/05/2019,32,90.5,82.27
172551,4,9/12/2018,65,86.7,84.26
171979,8,14/11/2018,5,42.6,28.39
200838,5,13/04/2019,6,95,84.46
165811,4,8/07/2019,22,21.9,15.72
170069,6,28/07/2019,4,59.9,42.34
172671,5,16/07/2018,2,20.9,10.33
165811,4,14/08/2018,22,20.9,15.71
172551,5,10/07/2018,6,86.7,79.06
170936,7,9/06/2019,2,41.4,30.33
165954,5,1/10/2018,9,10.5,6.53
199219,7,19/08/2018,2,83.5,77.35
167108,7,13/02/2019,-4,27.9,18.58
172671,6,8/02/2019,-1,19.9,10.62
199219,8,1/09/2018,23,87.9,76.8
174022,6,17/05/2019,4,239,381.74
167108,8,6/04/2019,2,26.9,18.62
176139,8,8/10/2018,2,214,151.33
174022,5,7/09/2018,5,259,190.86
172551,4,5/05/2019,24,90.5,80.49
170936,7,22/08/2018,8,39,30.05
170936,4,31/10/2018,12,39,30.06
171979,4,20/09/2018,7,42.6,28
176139,8,27/10/2018,1,229,149.08
172671,4,3/01/2019,2,19.9,10.64
167108,4,20/08/2018,4,24.9,18.52
176139,8,3/08/2018,5,214,151.59
174022,8,7/12/2018,17,229,191.58
170295,5,16/10/2018,11,24.5,16.14
200838,7,10/08/2018,2,94.9,84.81
170069,8,4/01/2019,11,59.9,45.4
194516,4,3/12/2018,1,46.9,27.18
171979,8,14/09/2018,2,50.5,28.12
200838,9,27/11/2018,1,99.75,87.34
171979,8,26/04/2019,1,50.4,28.95
165811,5,27/06/2019,3,21.9,15.83
165954,7,7/04/2019,7,8.7,5.87
200838,6,14/04/2019,3,95,82.93
165811,5,24/10/2018,16,21.9,15.38
174022,8,28/01/2019,4,249,189.3
172671,5,12/05/2019,1,19.9,10.99
172551,5,5/07/2018,21,86.7,79.06
170936,7,25/02/2019,8,39,30.13
172551,7,4/12/2018,4,93.9,83.62
170936,7,5/02/2019,-8,39,30.13
172551,9,21/11/2018,1,95.03,84.17
165811,7,5/10/2018,3,21.9,15.37
167108,4,31/03/2019,3,27.9,18.56
165954,5,24/03/2019,1,8.7,5.87
167108,4,13/12/2018,8,27.9,18.68
174022,5,5/09/2018,5,259,190.86
167108,6,30/06/2019,10,26.9,18.58
200838,4,4/07/2018,3,104,84.2
176139,5,25/11/2018,3,199,147.62
167108,6,3/07/2018,5,30.3,19.35
170295,5,8/09/2018,6,29.9,18.91
170936,8,31/10/2018,3,39,30.06
199219,4,21/05/2019,1,89,78.24
171979,5,9/05/2019,3,50.4,28.95
200838,6,21/07/2019,8,95,85.91
172551,6,23/08/2018,15,90.5,82.06
200838,4,24/02/2019,8,95,81.39
174022,6,3/04/2019,2,239,203.85
165811,5,30/11/2018,16,21.9,15.69
172551,5,26/07/2018,9,90.5,81.06
174022,8,7/07/2018,4,229,200.65
172671,7,11/11/2018,4,19.9,10.33
167108,4,21/09/2018,3,38.9,18.55
165811,5,21/03/2019,7,21.9,15.75
172551,8,24/05/2019,22,93.5,83.45
200838,7,16/04/2019,3,95,81.47
165811,9,17/11/2018,5,23,15.68
170936,7,20/12/2018,10,39,30.08
167108,5,8/12/2018,7,27.9,18.6
174022,6,22/06/2019,4,239,200.08
200838,6,9/07/2019,3,95,85.8
165811,6,5/04/2019,24,21.9,15.84
171979,5,9/07/2018,2,49.6,28.28
174022,6,20/10/2018,1,229,189.49
172551,4,12/07/2018,2,98.9,80.4
199219,7,26/06/2019,7,89,78.77
171979,8,18/03/2019,2,72.9,28.86
167108,5,16/05/2019,5,26.9,34.82
170936,5,23/03/2019,10,39,30.13
167108,8,3/12/2018,1,27.9,18.62
200838,8,14/12/2018,3,95,85.74
165954,7,5/01/2019,1,8.7,5.87
174022,4,19/01/2019,7,239,192.67
165811,8,3/10/2018,12,21.9,15.4
165811,7,26/11/2018,1,21.9,15.63
174022,8,4/10/2018,3,239,191.9
172671,4,12/05/2019,1,19.9,10.95
165811,4,26/11/2018,4,21.9,15.55
174022,8,8/01/2019,1,229,189.3
199219,7,11/07/2019,1,89,78.77
171979,4,13/12/2018,6,43.5,28.27
174022,5,3/01/2019,5,239,187.06
200838,7,18/09/2018,12,94.9,84.56
167108,4,14/07/2019,3,26.9,18.58
200838,6,4/03/2019,6,95,81.92
200838,5,31/03/2019,10,95,82.38
172551,8,18/08/2018,7,93.9,81.47
199219,4,21/06/2019,14,89,78.75
165811,5,28/02/2019,7,21.9,15.75
172671,4,13/08/2018,1,19.9,10.07
170295,5,30/07/2018,1,29.9,18.67
174022,8,21/12/2018,15,249,191.58
171979,5,6/01/2019,2,46.3,28.14
174022,8,17/04/2019,3,239,192.31
170936,4,11/11/2018,3,39,30.06
200838,4,17/10/2018,12,95,85.53
172671,6,4/06/2019,1,19.9,10.97
170936,4,13/10/2018,2,39,30.06
165954,6,25/10/2018,3,8.7,5.86
165811,6,4/11/2018,17,21.9,15.37
174022,6,27/05/2019,5,239,203.68
176139,4,19/07/2018,3,214,150.49
199219,8,2/07/2018,4,87.9,77.77
170295,6,21/06/2019,8,26,17.62
176139,7,25/02/2019,4,197,142
165811,5,22/06/2019,6,21.9,15.83
167108,4,24/08/2018,4,30.3,18.52
199219,4,14/12/2018,4,89,78.57
200838,7,9/07/2018,7,95.9,84.25
176139,7,5/12/2018,5,199,147.36
167108,6,9/06/2019,4,26.9,18.58
172671,4,22/12/2018,2,19.9,10.56
170936,5,10/08/2018,6,39,30.05
199219,6,26/07/2018,10,87.9,77.5
194516,6,28/03/2019,2,46.5,28.59
165811,4,29/10/2018,11,21.9,15.37
171979,7,21/06/2019,1,50.4,28.79
199219,8,19/03/2019,6,133.5,77.13
170936,4,1/08/2018,2,39,30.05
165811,8,15/07/2018,3,20.9,15.6
174022,4,19/07/2018,5,259,190
165954,7,12/01/2019,18,8.7,5.87
174022,6,14/07/2019,2,239,199.98
200838,4,9/06/2019,5,95,84.82
167108,4,31/05/2019,6,26.9,18.62
167108,7,9/06/2019,5,26.9,18.58
170295,4,19/03/2019,2,24.5,15.78
200838,6,15/11/2018,8,95,85.53
171979,4,30/06/2019,1,50.4,28.95
176139,6,15/11/2018,1,229,147.63
169281,6,8/07/2019,3,21.9,16.08
170936,5,7/09/2018,5,39,30.06
167108,5,31/08/2018,2,30.3,24.62
170936,4,12/12/2018,6,39,30.08
200838,8,5/02/2019,-4,95,81.7
165811,8,10/11/2018,6,21.9,15.37
167108,7,16/06/2019,1,26.9,18.58
165811,8,10/05/2019,5,21.9,15.84
199219,4,29/05/2019,7,89,78.25
170936,4,16/10/2018,7,39,30.06
169281,6,26/01/2019,4,21.9,16.09
199219,7,23/08/2018,4,87.9,77.35
171979,6,11/06/2019,1,50.4,28.95
174022,6,2/09/2018,8,239,191.78
200838,4,6/04/2019,4,95,81.58
170936,8,16/07/2019,8,39,32.43
194516,7,2/07/2019,4,43.8,27.44
172671,4,1/05/2019,1,19.9,10.95
170295,5,20/11/2018,17,24.5,16.05
172551,5,15/04/2019,1,86.7,80.64
172671,4,29/10/2018,1,19.9,10.32
170936,5,31/07/2019,7,39,32.46
165811,4,8/11/2018,16,21.9,15.37
167108,5,11/12/2018,1,27.9,18.6
169281,4,28/02/2019,2,21.9,15.31
194516,8,13/06/2019,3,43.8,27.44
199219,6,4/06/2019,21,89,78.43
171979,5,25/08/2018,9,42.6,27.01
170295,6,29/06/2019,12,26,17.64
170936,4,20/09/2018,5,39,30.06
200838,8,7/07/2019,7,95,85.52
165811,8,19/12/2018,2,21.9,15.74
170069,7,18/06/2019,1,59.9,43.48
172551,6,26/08/2018,1,90.5,82.13
171979,6,27/10/2018,9,42.6,28.11
167108,4,14/06/2019,3,26.9,18.58
170295,4,4/12/2018,13,24.5,15.57
194516,7,28/01/2019,8,37.8,27.48
194516,8,14/04/2019,3,43.8,27.5
170936,5,11/07/2018,12,39,30.06
200838,8,21/11/2018,3,95,85.63
199219,5,4/12/2018,10,89,78.57
200838,8,4/09/2018,6,95.9,84.96
176139,5,8/10/2018,1,214,152.67
199219,8,27/05/2019,18,89,78.13
167108,8,22/05/2019,1,26.9,18.62
170936,6,15/02/2019,-8,39,30.13
167108,6,23/01/2019,7,27.9,18.57
170936,7,26/03/2019,4,54.6,30.13
170936,8,15/04/2019,4,39,30.13
165811,7,3/04/2019,2,21.9,15.79
169281,6,9/09/2018,1,25.5,18.95
170069,4,27/10/2018,3,83.9,43.96
194516,8,15/12/2018,4,38.7,27.35
171979,6,7/04/2019,1,50.4,28.95
172551,5,11/06/2019,10,92,82.9
170069,8,29/05/2019,1,59.9,42.19
165811,6,6/06/2019,36,21.9,15.83
170295,4,11/05/2019,33,24.5,15.8
199219,8,19/02/2019,4,89,78.03
170069,5,5/06/2019,9,59.9,42.34
170069,5,21/08/2018,1,90.9,44.75
170295,7,20/07/2019,8,26,17.65
165811,6,27/02/2019,11,21.9,15.75
170069,4,13/04/2019,1,,42.91
200838,6,14/08/2018,21,94.9,85.26
172551,7,27/08/2018,6,90.5,78.89
199219,6,13/01/2019,10,89,77.9
165811,4,9/12/2018,2,21.9,15.73
170295,4,19/11/2018,1,24.5,16.05
171979,7,14/12/2018,2,43.5,28.32
170295,7,18/04/2019,9,24.5,15.79
200838,6,24/09/2018,3,104,84.92
165811,4,29/12/2018,6,21.9,15.74
174022,8,6/12/2018,9,229,191.58
167108,8,24/04/2019,3,26.9,18.62
165811,6,10/05/2019,19,21.9,15.84
170936,8,7/03/2019,5,58.5,30.13
170936,6,24/06/2019,8,39,31.83
170069,4,17/02/2019,-1,59.9,45.39
176139,4,21/07/2018,4,214,150.9
174022,8,3/04/2019,13,239,192.31
172551,5,5/04/2019,13,86.7,81.26
167108,5,16/02/2019,-2,27.9,18.56
199219,5,24/06/2019,9,89,78.77
170936,8,18/08/2018,9,39,30.05
167108,4,23/03/2019,5,27.9,18.56
172671,8,16/07/2018,2,20.9,10.33
174022,5,6/02/2019,-13,239,188.02
170069,7,1/09/2018,1,58.9,45.42
176139,7,12/12/2018,2,199,147.34
199219,6,10/05/2019,6,89,77.65
172551,6,26/09/2018,14,86.7,78.82
199219,5,7/08/2018,23,87.9,77.99
200838,6,4/06/2019,17,95,85.22
174022,6,13/08/2018,2,259,190
169281,6,14/07/2019,2,21.9,16.08
172671,5,1/11/2018,1,19.9,10.5
199219,4,10/04/2019,11,89,78.2
172551,6,28/01/2019,7,98.9,86.43
170936,4,1/10/2018,5,39,30.06
170295,6,19/02/2019,2,24.5,15.78
194516,7,19/09/2018,4,45.6,28.63
199219,7,29/07/2018,3,87.9,77.79
172551,7,6/07/2018,8,86.7,79.94
174022,7,16/09/2018,2,256,203.15
174022,8,8/09/2018,7,239,191.18
170295,4,24/01/2019,13,24.5,15.8
200838,9,5/11/2018,10,99.75,87.24
172551,8,22/08/2018,7,90.5,81.47
165811,7,26/07/2019,8,21.9,15.72
194516,8,25/01/2019,15,37.8,27.39
199219,8,16/12/2018,23,89,78.26
194516,5,26/10/2018,6,34.5,27.19
176139,7,23/02/2019,5,197,142
199219,5,19/07/2019,7,89,78.77
167108,4,29/11/2018,5,27.9,20.1
169281,4,28/11/2018,9,21.9,15.43
171979,5,12/03/2019,1,48.6,
176139,6,3/02/2019,-2,183,142
199219,4,30/11/2018,2,89,78.62
199219,8,9/04/2019,2,89,77.33
170069,7,28/07/2019,6,59.9,42.62
167108,4,20/04/2019,12,26.9,18.62
165811,4,13/10/2018,4,21.9,15.38
200838,8,18/11/2018,1,95,85.6
194516,6,9/04/2019,4,43.8,27.59
174022,4,15/12/2018,11,259,189.51
174022,5,8/08/2018,1,259,193.72
172671,6,30/06/2019,1,19.9,10.97
170936,6,22/08/2018,7,39,30.05
170936,4,15/07/2018,10,39,30.05
174022,5,20/04/2019,6,239,203.85
199219,6,12/09/2018,2,90.9,77.45
167108,4,7/07/2018,1,30.3,18.64
200838,4,18/10/2018,2,95,85.53
172551,5,31/07/2018,3,90.5,81.11
176139,7,25/11/2018,4,199,147.45
174022,8,19/09/2018,11,229,198.89
200838,9,26/11/2018,8,99.75,87.34
167108,4,12/02/2019,-2,27.9,18.56
199219,4,12/01/2019,3,89,78.02
199219,5,6/02/2019,-10,89,78.09
170936,7,18/12/2018,2,39,30.08
172551,7,30/05/2019,2,92,83.04
200838,7,13/09/2018,20,94.9,84.54
194516,6,15/11/2018,19,38.7,27.62
200838,8,1/04/2019,5,95,81.89
167108,6,20/05/2019,1,26.9,34.82
200838,4,4/05/2019,6,95,81.6
176139,5,16/12/2018,2,199,147.36
165811,8,2/11/2018,11,21.9,15.37
171979,7,21/09/2018,4,42.6,28.07
170295,7,14/02/2019,-1,24.5,15.78
172551,8,15/06/2019,6,92,82.98
170295,4,4/06/2019,2,26,16.26
200838,8,13/06/2019,4,95,84.57
199219,8,18/02/2019,-2,89,78.03
169281,8,10/07/2019,3,21.9,15.77
174022,7,1/08/2018,9,239,190.14
167108,4,26/11/2018,3,38.9,20.08
174022,4,30/10/2018,5,229,189.83
171979,6,13/04/2019,4,50.4,28.95
200838,7,27/07/2019,1,95,81.99
170069,6,18/07/2018,4,62.9,45.2
200838,4,29/06/2019,1,95,85.4
169281,7,27/12/2018,2,21.9,15.46
171979,8,2/04/2019,6,44.4,28.95
174022,5,1/07/2018,11,229,190.13
170069,7,22/09/2018,1,90.9,44.1
165811,4,7/07/2019,4,21.9,15.72
165811,8,1/11/2018,4,21.9,15.37
172551,4,18/05/2019,6,95.9,159.42
